age,income,employment_length,credit_score,credit_history_length,loan_amount,interest_rate,loan_term_months,loan_purpose,monthly_payment,dti_ratio,num_open_accounts,num_delinquencies,credit_utilization,home_ownership,loan_default
43,54159,16,543,20,17905,7.22,24,small_business,803.44,58.2,5,1,41.199999999999996,MORTGAGE,0
35,24591,1,553,14,7739,11.32,36,education,254.54,12.4,4,0,66.0,MORTGAGE,0
23,59552,4,675,0,22239,4.51,60,education,414.7,35.9,8,2,15.5,MORTGAGE,0
42,26323,1,719,19,36372,10.16,12,auto,3200.38,85.0,6,1,19.5,MORTGAGE,1
29,29340,6,663,10,27315,8.91,36,major_purchase,867.47,57.0,6,7,14.799999999999999,MORTGAGE,0
47,41598,0,714,27,18798,14.06,12,debt_consolidation,1688.35,85.0,4,0,64.60000000000001,MORTGAGE,1
30,26071,0,550,11,26787,14.46,36,major_purchase,921.51,47.0,3,1,23.400000000000002,MORTGAGE,0
60,36852,8,556,39,15424,9.32,60,auto,322.58,21.6,6,0,37.6,MORTGAGE,0
32,23956,2,850,14,37456,3.0,48,debt_consolidation,829.06,69.9,3,0,28.299999999999997,MORTGAGE,0
38,18000,2,778,20,46305,4.1,36,debt_consolidation,1369.17,85.0,4,3,6.1,OWN,0
51,90289,4,741,33,7278,14.49,24,home_improvement,351.12,8.7,2,0,31.3,RENT,0
27,22524,6,627,5,39385,9.43,24,auto,1807.07,85.0,5,1,46.1,RENT,1
44,44037,1,660,22,86344,17.0,24,medical,4269.04,85.0,2,2,13.4,MORTGAGE,1
57,77013,1,679,39,26053,13.59,24,home_improvement,1245.84,36.3,3,2,57.8,MORTGAGE,0
22,33895,15,785,1,35904,11.02,24,small_business,1673.74,85.0,6,2,19.2,MORTGAGE,1
44,29878,4,712,21,11464,10.51,24,major_purchase,531.71,85.0,4,1,49.3,OWN,1
45,56147,2,722,20,12675,5.4,60,auto,241.52,45.1,5,0,48.9,OWN,0
51,95871,8,666,27,15573,7.47,72,medical,269.03,7.5,5,3,14.499999999999998,RENT,0
27,24304,3,743,5,13606,11.67,72,small_business,263.67,31.2,6,4,13.200000000000001,RENT,1
26,44797,1,704,3,7199,8.62,36,auto,227.66,14.9,9,0,28.999999999999996,MORTGAGE,0
48,18000,1,683,25,15980,11.87,36,education,529.77,85.0,2,0,34.5,MORTGAGE,0
45,38718,2,620,27,32385,14.12,12,home_improvement,2909.58,85.0,6,0,17.2,MORTGAGE,0
45,50037,9,670,26,7266,9.28,36,debt_consolidation,232.0,29.9,6,0,47.0,MORTGAGE,0
46,29355,0,593,28,20442,8.27,48,auto,501.64,39.1,3,0,4.6,OWN,0
33,37264,1,676,9,20008,6.41,84,small_business,296.24,53.1,6,0,48.9,OWN,0
44,21058,11,687,26,14604,13.34,72,debt_consolidation,295.79,85.0,7,1,24.099999999999998,MORTGAGE,0
45,51341,0,487,21,25528,13.01,48,home_improvement,684.98,65.5,5,0,23.5,MORTGAGE,0
33,92356,4,661,14,23905,18.75,48,auto,711.61,12.7,7,0,22.7,MORTGAGE,0
64,25379,1,585,39,13895,10.71,24,auto,645.75,85.0,6,0,9.2,OWN,0
47,33738,4,719,24,37896,9.61,48,auto,954.06,43.2,3,2,12.4,OTHER,0
27,66272,2,730,2,26700,11.87,48,major_purchase,701.41,30.5,2,0,49.7,MORTGAGE,0
49,101443,0,645,27,54254,8.85,48,home_improvement,1346.25,26.6,2,0,49.7,RENT,0
30,20011,4,723,7,17214,6.46,48,auto,407.91,85.0,9,4,26.6,RENT,1
51,44299,5,727,32,14396,10.36,60,major_purchase,308.43,24.1,6,2,3.5000000000000004,MORTGAGE,0
55,58097,5,661,31,15585,11.83,48,major_purchase,409.11,35.7,1,4,53.800000000000004,MORTGAGE,0
32,46109,5,802,10,41143,12.1,48,auto,1085.47,42.0,7,3,46.300000000000004,MORTGAGE,0
53,18000,3,621,32,16251,11.78,36,debt_consolidation,538.06,85.0,9,3,9.2,MORTGAGE,0
46,66214,3,797,24,16960,14.26,36,medical,581.8,17.3,4,0,23.1,OWN,0
51,121978,5,661,27,71159,12.08,12,home_improvement,6325.05,71.9,1,2,34.5,OTHER,0
64,52575,5,612,40,7036,11.08,36,debt_consolidation,230.62,33.9,5,0,31.7,RENT,1
39,26405,5,651,19,23150,4.94,60,auto,436.23,69.1,8,3,31.1,MORTGAGE,0
32,36030,4,592,10,17274,10.98,48,major_purchase,446.29,75.3,10,0,21.2,RENT,0
31,141768,0,742,11,15132,9.32,48,small_business,378.86,3.2,4,2,47.0,MORTGAGE,0
32,84624,1,551,10,9252,5.51,60,major_purchase,176.77,21.9,7,5,64.2,RENT,1
41,71970,1,791,17,11330,12.0,36,debt_consolidation,376.32,17.9,2,4,20.7,RENT,0
46,60709,12,605,27,13552,12.07,60,home_improvement,301.94,38.5,3,0,16.7,RENT,0
45,32968,7,746,20,25514,11.7,60,debt_consolidation,563.68,66.8,3,1,27.1,OWN,0
51,43462,4,681,29,32751,12.22,36,education,1091.25,84.7,7,0,9.4,MORTGAGE,0
42,46781,1,701,17,5191,10.5,36,home_improvement,168.72,32.4,5,0,8.200000000000001,OWN,0
59,68168,0,632,41,7776,9.01,48,major_purchase,193.54,39.9,6,0,11.700000000000001,MORTGAGE,0
38,121218,11,708,16,26463,17.08,72,home_improvement,589.88,19.2,6,0,26.0,MORTGAGE,0
74,95894,11,690,50,28073,10.59,24,major_purchase,1303.08,21.2,6,1,35.199999999999996,OWN,0
49,20918,0,563,30,6473,3.0,84,debt_consolidation,85.53,45.5,4,1,6.9,MORTGAGE,0
31,56072,7,602,9,33256,3.0,48,major_purchase,736.1,34.1,7,0,21.9,MORTGAGE,0
29,76271,2,636,5,17858,14.82,60,medical,423.16,27.5,10,0,22.400000000000002,MORTGAGE,0
47,71062,1,619,25,30422,3.0,60,home_improvement,546.64,40.5,2,0,35.6,RENT,0
39,33605,6,780,17,9934,7.82,36,home_improvement,310.47,70.3,4,1,12.6,RENT,0
50,281662,4,680,27,6815,5.14,12,small_business,583.85,9.7,4,4,11.600000000000001,OWN,0
47,22782,7,617,24,14529,8.79,24,major_purchase,662.35,74.5,3,4,38.9,RENT,1
41,25593,0,640,20,14988,11.54,36,medical,494.53,85.0,7,0,9.6,MORTGAGE,0
31,56396,1,639,6,14412,7.34,84,debt_consolidation,219.92,32.8,6,1,12.7,MORTGAGE,0
23,174570,1,656,0,13723,6.74,12,major_purchase,1185.76,20.4,5,0,22.7,MORTGAGE,0
36,29681,2,593,11,58984,12.92,72,debt_consolidation,1181.56,58.5,6,2,15.7,RENT,0
52,41793,3,614,27,5486,20.53,48,home_improvement,168.49,49.4,1,4,19.0,RENT,1
44,93561,1,741,19,9982,12.16,24,auto,470.63,16.8,6,1,63.1,MORTGAGE,0
27,48498,2,694,7,13453,6.34,36,debt_consolidation,411.34,20.2,3,1,32.300000000000004,RENT,1
44,40104,2,667,22,18339,13.48,60,auto,421.79,62.9,10,5,29.9,MORTGAGE,1
46,68828,6,680,24,29664,16.98,60,home_improvement,736.91,29.7,4,1,4.7,OTHER,0
31,57728,4,676,11,33049,14.25,36,debt_consolidation,1133.55,56.9,8,2,6.6000000000000005,OWN,0
43,90968,5,663,25,38313,3.83,72,education,596.45,15.8,8,0,23.9,OWN,0
42,106391,1,721,21,25261,12.11,24,debt_consolidation,1190.42,42.8,7,1,26.700000000000003,RENT,0
28,58935,1,715,7,5372,8.16,48,home_improvement,131.55,26.5,4,3,36.4,MORTGAGE,0
46,58398,0,554,21,5624,10.21,48,major_purchase,143.21,22.2,4,3,18.8,RENT,0
48,55740,0,669,23,40259,8.5,72,education,715.74,56.5,5,1,13.100000000000001,MORTGAGE,0
54,65741,1,559,36,38477,12.97,12,medical,3436.12,84.5,8,6,47.599999999999994,RENT,1
54,50670,0,730,34,28147,8.59,24,small_business,1280.6,85.0,4,0,28.199999999999996,MORTGAGE,1
25,49002,4,741,1,10155,15.67,36,major_purchase,355.37,58.3,4,0,11.4,RENT,0
30,100506,31,631,10,14389,9.99,24,debt_consolidation,663.91,19.1,6,0,20.200000000000003,OWN,1
48,121743,0,670,29,13640,9.11,60,major_purchase,283.87,15.6,8,0,17.7,RENT,0
48,19840,8,511,28,8801,12.29,36,debt_consolidation,293.54,85.0,4,3,31.1,MORTGAGE,1
48,49316,0,757,25,21619,11.43,48,debt_consolidation,563.28,27.0,4,0,21.9,OTHER,0
75,32428,5,736,50,81538,12.4,60,debt_consolidation,1830.29,85.0,3,0,11.200000000000001,MORTGAGE,0
48,40676,5,772,27,12747,9.47,48,debt_consolidation,320.06,37.9,3,0,26.900000000000002,RENT,0
55,62411,11,798,31,44700,15.34,60,debt_consolidation,1071.4,41.5,4,0,47.599999999999994,MORTGAGE,0
53,73252,0,582,30,9703,13.96,60,home_improvement,225.57,26.6,2,3,27.700000000000003,MORTGAGE,0
49,45831,1,751,24,6150,9.95,36,debt_consolidation,198.3,21.9,4,0,69.39999999999999,RENT,0
38,18000,0,798,19,35999,13.29,12,debt_consolidation,3220.23,85.0,6,0,16.1,MORTGAGE,0
51,27473,2,560,29,15472,8.95,24,debt_consolidation,706.48,70.8,8,0,12.1,MORTGAGE,1
32,83943,12,666,10,43908,12.28,60,education,982.93,27.4,9,1,38.800000000000004,MORTGAGE,0
39,18000,7,650,17,50494,13.3,48,major_purchase,1362.16,85.0,6,0,23.7,RENT,1
36,99953,6,748,11,14840,11.0,60,home_improvement,322.66,13.0,4,0,23.9,RENT,0
42,67019,3,488,17,46171,6.72,48,major_purchase,1099.63,23.4,3,7,44.5,RENT,1
69,107980,10,825,50,9766,5.23,36,major_purchase,293.71,18.4,5,2,20.1,MORTGAGE,0
21,43514,2,670,0,9659,11.17,60,debt_consolidation,210.83,5.8,2,0,9.5,MORTGAGE,0
50,18000,0,753,30,38200,7.1,48,medical,916.52,61.1,6,1,37.4,RENT,0
22,63463,9,675,3,6102,14.22,36,small_business,209.2,28.2,3,0,29.299999999999997,RENT,0
36,105323,1,719,12,18014,3.96,24,major_purchase,781.94,21.8,5,3,45.300000000000004,OWN,0
55,85377,0,494,34,43250,15.27,24,small_business,2102.6,49.6,9,3,65.4,RENT,1
42,32938,0,649,18,45331,10.2,36,debt_consolidation,1466.96,85.0,2,1,34.9,RENT,0
29,51640,4,747,4,13321,6.58,60,small_business,261.14,6.1,4,0,1.7999999999999998,OWN,0
33,35607,4,703,8,36550,8.19,60,medical,744.43,53.4,4,2,8.0,MORTGAGE,0
50,29984,1,549,30,8216,9.19,60,medical,171.31,44.9,4,0,32.800000000000004,RENT,1
33,86962,6,684,15,11303,11.93,36,medical,375.04,25.3,1,0,32.800000000000004,OWN,0
44,23896,7,614,23,21190,5.1,48,debt_consolidation,488.95,85.0,1,0,51.9,OTHER,1
42,28672,12,607,19,23492,6.16,60,medical,455.92,60.1,3,0,2.6,RENT,0
34,25275,4,558,11,8661,8.7,60,home_improvement,178.53,69.2,6,1,34.4,MORTGAGE,1
67,20047,7,729,49,66409,9.88,60,debt_consolidation,1407.08,85.0,6,0,8.3,MORTGAGE,1
49,53522,6,769,25,4845,12.87,36,debt_consolidation,162.94,18.0,5,0,27.400000000000002,MORTGAGE,0
21,98410,1,849,0,18731,11.08,12,home_improvement,1656.18,35.9,5,2,39.1,RENT,0
44,43873,1,562,20,20684,8.44,36,education,652.37,17.8,4,0,14.7,MORTGAGE,0
34,19861,3,741,12,5308,10.95,36,home_improvement,173.65,85.0,2,0,39.300000000000004,OWN,0
52,81142,0,746,31,45564,10.66,84,debt_consolidation,772.05,43.8,4,2,59.0,RENT,0
32,134782,1,633,9,10739,8.99,36,small_business,341.45,12.1,8,2,50.2,RENT,0
40,33264,3,606,22,19320,10.47,60,debt_consolidation,414.98,85.0,6,0,24.9,MORTGAGE,0
48,36785,0,593,29,22688,3.0,60,debt_consolidation,407.67,67.2,6,0,58.5,OTHER,0
52,66795,0,637,32,6516,13.73,36,major_purchase,221.85,43.9,3,0,15.299999999999999,MORTGAGE,0
27,129718,3,696,5,8514,12.19,48,debt_consolidation,225.0,16.0,4,0,10.2,OWN,0
37,35885,6,788,15,53858,15.99,48,medical,1526.08,85.0,2,0,41.8,OWN,0
36,22038,8,768,14,17221,6.76,36,debt_consolidation,529.85,85.0,7,1,31.3,MORTGAGE,0
34,71600,3,550,12,2730,12.29,36,medical,91.05,5.0,8,1,20.3,RENT,0
63,79176,3,616,40,14598,3.0,36,debt_consolidation,424.53,6.4,8,0,48.6,MORTGAGE,0
46,49201,2,783,25,17623,3.0,48,auto,390.07,36.1,4,1,47.199999999999996,OWN,0
26,35070,1,621,3,21026,9.05,60,auto,436.98,44.0,4,0,42.699999999999996,RENT,0
53,89020,0,675,32,4450,7.69,48,education,107.99,13.2,6,0,10.8,RENT,0
67,67293,7,543,49,17667,14.19,72,debt_consolidation,365.84,13.8,5,0,29.299999999999997,MORTGAGE,0
54,30913,3,772,29,10068,14.71,60,major_purchase,237.99,85.0,1,1,31.1,RENT,0
23,50486,7,526,4,21051,15.13,72,auto,446.61,24.0,3,1,37.6,RENT,1
36,21784,6,548,18,25704,12.39,48,small_business,681.82,66.2,6,1,11.4,OWN,1
57,73978,1,764,34,23860,12.56,12,major_purchase,2126.19,55.2,3,0,32.0,MORTGAGE,0
33,41884,3,833,10,48183,4.87,48,education,1106.79,85.0,4,2,45.4,MORTGAGE,0
47,37743,2,656,28,83566,15.6,60,debt_consolidation,2014.45,85.0,4,0,44.7,MORTGAGE,0
51,48063,2,676,30,8155,15.01,48,home_improvement,227.0,26.1,7,3,11.0,OWN,0
30,50220,3,752,8,13802,4.48,48,debt_consolidation,314.61,34.0,6,0,28.000000000000004,MORTGAGE,0
41,83864,20,703,23,30337,11.87,84,debt_consolidation,533.42,41.2,9,6,55.900000000000006,OWN,0
21,69888,8,650,2,16502,7.81,36,debt_consolidation,515.67,43.0,2,1,12.0,RENT,0
29,44629,11,641,9,2681,17.4,60,medical,67.21,51.1,5,0,14.7,RENT,0
38,77512,0,554,19,15759,6.1,48,major_purchase,370.82,29.1,8,1,33.6,MORTGAGE,0
27,62345,0,698,2,42783,10.37,48,debt_consolidation,1092.71,46.4,3,0,12.3,RENT,0
61,37950,0,672,36,6793,10.74,24,debt_consolidation,315.79,85.0,5,0,27.3,RENT,0
24,45486,1,644,6,21043,9.79,60,education,444.93,64.6,9,0,35.3,MORTGAGE,0
36,44849,2,599,12,4745,18.59,60,home_improvement,122.02,38.9,10,0,30.099999999999998,OWN,0
43,66380,5,607,22,33157,16.76,48,debt_consolidation,952.63,48.5,5,0,42.4,OWN,0
59,39331,3,729,37,21356,3.45,60,debt_consolidation,388.02,44.9,4,1,9.8,OWN,0
24,38783,11,750,4,12116,11.95,48,debt_consolidation,318.76,15.4,5,0,23.400000000000002,MORTGAGE,0
